// lista de projetos, vagas, requisitos e preferências dos alunos
// formato (código projeto, número de vagas, requisito mínimo de notas para vagas)

(P1, 3, 5)
(P2, 1, 5)
(P3, 2, 4)
(P4, 1, 3)
(P5, 2, 4)
(P6, 2, 5)
(P7, 3, 4)
(P8, 2, 5)
(P9, 2, 4)
(P10, 1, 4)
(P11, 1, 5)
(P12, 1, 5)
(P13, 3, 5)
(P14, 2, 3)
(P15, 2, 4)
(P16, 1, 4)
(P17, 4, 4)
(P18, 3, 3)
(P19, 2, 5)
(P20, 2, 4)
(P21, 2, 3)
(P22, 1, 4)
(P23, 1, 3)
(P24, 1, 3)
(P25, 1, 4)
(P26, 2, 3)
(P27, 2, 5)
(P28, 1, 5)
(P29, 1, 5)
(P30, 1, 3)


//alunos, preferências de projetos e notas individuais dos alunos 
// formato (código aluno):(projetos preferenciais na ordem) (Nota do aluno)
(A1):(P1, P30, P20) (5)
(A2):(P1, P30, P10) (5)
(A3):(P10, P14, P15) (3)
(A4):(P2, P3, P5) (4)
(A5):(P4, P28, P24) (3)
(A6):(P20, P9, P10) (4)
(A7):(P11, P21, P28) (4)
(A8):(P6, P27, P8) (5)
(A9):(P7, P29, P9) (3)
(A10):(P8, P23, P10) (4)
(A11):(P12, P1, P1) (5)
(A12):(P2, P20, P4) (5)
(A13):(P3, P30, P5) (3)
(A14):(P4, P10, P15) (4)
(A15):(P5, P28, P24) (3)
(A16):(P6, P19, P4) (4)
(A17):(P7, P21, P18) (4)
(A18):(P8, P7, P28) (5)
(A19):(P9, P19, P29) (3)
(A20):(P10, P14, P5) (4)
(A21):(P7, P17, P27) (4)
(A22):(P18, P27, P8) (4)
(A23):(P9, P29, P3) (4)
(A24):(P10, P20, P30) (4)
(A25):(P5, P4, P24) (4)
(A26):(P4, P9, P10) (4)
(A27):(P11, P21, P18) (4)
(A28):(P6, P27, P8) (4)
(A29):(P7, P29, P9) (4)
(A30):(P8, P13, P10) (4)
(A31):(P12, P2, P1) (5)
(A32):(P2, P20, P4) (5)
(A33):(P3, P30, P13) (5)
(A34):(P4, P10, P15) (5)
(A35):(P5, P18, P24) (5)
(A36):(P6, P19, P16) (3)
(A37):(P7, P21, P18) (3)
(A38):(P8, P7, P28) (3)
(A39):(P9, P19, P2) (3)
(A40):(P10, P1, P5) (3)
(A41):(P14, P20, P24) (4)
(A42):(P16, P12, P18) (4)
(A43):(P6, P14, P5) (4)
(A44):(P12, P3, P15) (4)
(A45):(P11, P8, P4) (4)
(A46):(P13, P7, P1) (4)
(A47):(P1, P3, P8) (4)
(A48):(P26, P7, P28) (4)
(A49):(P7, P29, P9) (4)
(A50):(P8, P4, P10) (4)
(A51):(P2, P1, P14) (4)
(A52):(P2, P20, P4) (4)
(A53):(P3, P30, P5) (4)
(A54):(P3, P4, P15) (4)
(A55):(P15, P8, P24) (4)
(A56):(P6, P19, P20) (4)
(A57):(P27, P21, P18) (4)
(A58):(P28, P7, P28) (4)
(A59):(P22, P19, P13) (4)
(A60):(P30, P24, P5) (4)
(A61):(P2, P17, P27) (4)
(A62):(P26, P27, P8) (4)
(A63):(P19, P29, P6) (4)
(A64):(P30, P20, P6) (4)
(A65):(P30, P4, P24) (4)
(A66):(P30, P9, P10) (4)
(A67):(P1, P3, P8) (4)
(A68):(P6, P27, P8) (4)
(A69):(P12, P29, P9) (4)
(A70):(P22, P13, P10) (4)
(A71):(P2, P21, P1) (4)
(A72):(P2, P20, P4) (4)
(A73):(P9, P30, P5) (4)
(A74):(P3, P10, P15) (4)
(A75):(P14, P26, P24) (4)
(A76):(P16, P19, P2) (3)
(A77):(P7, P21, P18) (3)
(A78):(P18, P17, P28) (3)
(A79):(P3, P19, P4) (3)
(A80):(P11, P3, P5) (3)
(A81):(P27, P17, P29) (5)
(A82):(P2, P27, P4) (5)
(A83):(P27, P30, P5) (5)
(A84):(P4, P12, P25) (5)
(A85):(P5, P28, P4) (5)
(A86):(P27, P19, P10) (3)
(A87):(P7, P21, P8) (3)
(A88):(P8, P7, P26) (3)
(A89):(P19, P1, P9) (3)
(A90):(P10, P23, P25) (3)
(A91):(P24, P20, P21) (4)
(A92):(P16, P12, P8) (4)
(A93):(P26, P14, P25) (4)
(A94):(P13, P3, P6) (4)
(A95):(P11, P13, P26) (4)
(A96):(P13, P12, P10) (4)
(A97):(P11, P13, P8) (4)
(A98):(P26, P23, P18) (4)
(A99):(P7, P9, P29) (4)
(A100):(P8, P3, P20) (4)

